Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
BenQ-Siemens M81,203342265-8,405,Avamm,Automotive,true,vel nulla eget eros,219,Mandatory,Mobile Devices,false
alcatel Pulsemix,830333879-X,189,Riffwire,Food - Prepared Meals,false,integer ac,77,parallelism,Laptops and Desktops,false
Huawei U8500 IDEOS X2,785098300-9,24,Bubblemix,Food - Spreads,false,libero rutrum ac lobortis vel,227,firmware,Laptops and Desktops,true
Nokia 105 (2015),815966704-3,165,Twimbo,Food - Snacks,false,velit donec diam neque vestibulum,223,zero tolerance,Laptops and Desktops,true
Telit GM 882,929281725-6,316,Oyoyo,Toys,true,dictumst aliquam augue quam sollicitudin,16,Implemented,,true
Acer Liquid Jade Z,244828323-0,178,Plambee,Outdoor,false,,56,zero administration,Laptops and Desktops,true
ZTE X990,141538628-5,359,Eabox,Office,true,,54,Pre-emptive,Laptops and Desktops,true
Samsung D900,890239339-9,263,,Food - Condiments,false,proin eu mi nulla ac,136,asynchronous,Mobile Devices,true
Motorola WX160,737817132-8,431,Oyondu,Gaming,true,,213,discrete,Mobile Devices,false
Sagem MC 939 WAP,176198870-0,76,Trunyx,Food - Baked Goods,true,nascetur ridiculus mus etiam,,Expanded,Laptops and Desktops,false
Huawei Ascend G510,229135466-3,71,Cogibox,Outdoor,true,pede justo lacinia,,User-friendly,Laptops and Desktops,true
OnePlus 6T,543072252-9,483,InnoZ,Health,false,hac,206,,Mobile Devices,true
alcatel OT 835,845320444-6,54,Jabbercube,Food - Frozen Desserts,false,velit,174,synergy,Mobile Devices,false
Samsung A517,378763091-0,9,,Food - Spices,true,consequat ut nulla,118,stable,Laptops and Desktops,false
Toshiba TS803,920142162-1,347,Quatz,Food - Condiments,false,non sodales sed tincidunt eu,,interactive,Mobile Devices,true
Plum Trigger Z104,568019257-8,289,Lazzy,Office,true,vel,175,extranet,,false
Archos 53 Platinum,102017811-6,85,Quatz,Bathroom,false,amet turpis elementum ligula,190,Cross-platform,Laptops and Desktops,false
ZTE S302,338935363-1,,Quinu,Food - Soups,false,odio elementum eu,133,Reverse-engineered,Laptops and Desktops,false
Posh Revel S500,971110762-7,70,Agimba,Food - Canned Goods,false,fusce,110,stable,,true
Yezz Andy 5E2I,489048070-6,220,Bluezoom,Food - Snacks,false,commodo vulputate,14,system engine,Laptops and Desktops,true
HTC Desire 300,368477398-0,145,Feedbug,Food - Breakfast,false,tincidunt lacus at velit,55,upward-trending,,false
Palm Treo 750v,005234641-2,151,,Food - Meats,false,,132,info-mediaries,Mobile Devices,false
Prestigio MultiPad 8.0 HD,970726304-0,153,Quimm,Home,true,magna bibendum,2,alliance,Laptops and Desktops,true
ZTE nubia Red Magic 5G,548195445-1,382,Rhycero,Food - Snacks,true,libero non,89,secondary,Laptops and Desktops,false
Sagem my700X,888243985-2,,Skippad,Home,false,curabitur gravida nisi at nibh,,Polarised,Mobile Devices,false
Lava A48,891845971-8,271,Jabbersphere,Food - Frozen Foods,true,turpis,33,groupware,Laptops and Desktops,false
Gigabyte Doraemon,459461343-8,323,Twitterlist,Kitchen,false,platea dictumst etiam faucibus cursus,,Optimized,Mobile Devices,true
LG G3 S Dual,624812833-2,,Yodel,Audio,false,,,Public-key,Laptops and Desktops,true
Sharp GX22,038682642-0,236,Quimba,Food - Canned Goods,true,,165,software,Laptops and Desktops,true
LG K40,663617064-6,32,Kimia,Food - Nuts,false,dictumst aliquam augue quam,126,object-oriented,Mobile Devices,false
LG Spectrum VS920,427913007-8,294,Yacero,Food - Frozen Desserts,true,vestibulum proin eu mi nulla,66,Organic,Mobile Devices,true
Sagem MY C4-2,446968488-0,32,Ozu,Fitness,false,elementum pellentesque quisque porta volutpat,73,model,Laptops and Desktops,true
LG G3 Dual-LTE,274707666-0,419,Realbuzz,Food - Canned Goods,true,libero,64,Quality-focused,Mobile Devices,true
BQ Aquaris M4.5,552988335-4,,Shuffletag,Garden,false,aliquet pulvinar sed nisl nunc,163,alliance,Mobile Devices,false
Samsung C180,750381366-0,167,Browsetype,Toys,false,,21,extranet,Laptops and Desktops,false
LG KS10,298162403-2,78,Teklist,Food - Snacks,false,quis odio,162,Horizontal,Mobile Devices,false
Allview X4 Soul Style,961530393-3,69,Realcube,Home Improvement,false,in faucibus orci luctus,90,middleware,Mobile Devices,false
Telit t130,120466982-1,461,Aimbo,Garden,true,ut dolor morbi vel,65,,Laptops and Desktops,true
Philips S337,927920668-0,490,Meejo,Food - Condiments,false,dolor quis,141,Stand-alone,Mobile Devices,true
