Name,Manufacturer,Serial Number,Category,Purchase Cost,Purchase Date,Location,Company,Order Number,Quantity,Min Qty,Model Number,Notes,Supplier
Rice Pilaf Mix,Dynabox,556499516-3,Food - Grains,83.62,2025-08-13,Bílina Kyselka,,3553986042267380,311,386,926774844-0,Quick and easy rice pilaf mix for side dishes.,Myworks
Buffalo Sauce,Twitterbridge,026082535-2,Food - Condiments,,2025-10-27,Juren,Kwilith,3565067066619420,436,624,467723195-8,Spicy buffalo sauce ideal for wings or dipping.,Dablist
Spinach and Ricotta Ravioli,,,Food - Pasta,71.23,2026-02-07,Yeniköy,Meedoo,,999,561,586395286-5,Delicious ravioli filled with creamy ricotta and fresh spinach.,Kare
Tofu,Mudo,588861115-8,Food - Meat Alternatives,73.25,2025-05-14,Xijiang,,3547779338597381,395,,264909706-X,"Firm tofu, a great plant-based protein option.",Wikido
Blueberry Oatmeal Cups,Flipbug,312679994-9,Food - Breakfast,58.23,2025-08-09,Meixian,Skyvu,,62,149,375957279-0,Instant oatmeal cups with blueberries for an easy breakfast.,
French Onion Dip,Flipopia,006961242-0,Food - Condiments,85.01,2025-09-10,Tanguiéta,Shufflebeat,670962779948850206,84,532,810521062-2,"Creamy dip made with real onions and spices, great for chips and veggies.",Flipopia
Leather Crossbody Bag,Leexo,666809557-7,Clothing - Bags,66.3,2025-02-01,Spirit River,Photobean,3563641983124557,653,974,035843622-2,A chic leather crossbody bag for everyday use.,Twinder
Fitness Tracker with Heart Rate Monitor,Meejo,975587682-0,Fitness,,2025-12-01,Almafuerte,Wikibox,30557902099194,900,255,332042084-4,Wearable device to track fitness activities and heart rate.,Riffpath
Red Lentil Pasta,Abata,100943643-0,Food - Pasta,85.24,2025-04-09,Guanajuato,Zoovu,3570658089596190,494,,771440154-0,"Gluten-free pasta made from red lentils, packed with protein.",Brightdog
Honey Mustard Chicken Breasts,Quimm,383749244-3,Food - Meat,99.98,2025-02-20,Saverne,Quinu,4844071718881462,679,966,987077634-5,Marinated chicken breasts coated in a sweet honey mustard glaze.,Cogidoo
Safety Goggles,Zoomdog,715158160-2,Safety,41.58,,Nizhniy Tagil,Realbridge,3562409126736971,1000,643,,Protective goggles for DIY and construction work.,Ooba
Spicy Hummus,Realbridge,900308530-7,Food - Deli,56.25,,,Avaveo,3568980934959660,859,,,"Creamy hummus with a kick of spice, great for dipping.",Demivee
Balsamic Glaze,Devshare,630159335-9,Food - Condiments,37.05,,Guixi,Yakidoo,4325816071609969,185,158,442859747-9,Sweet and tangy balsamic reduction for drizzling.,Lazzy
Roasted Vegetable Medley,Vinte,690056238-8,Food - Frozen Foods,42.38,2025-11-07,Emiliano Zapata,,3557739861464083,50,820,330226395-3,A mix of frozen roasted vegetables for an easy side dish.,Buzzdog
Portable Grill Cover,Quimba,058067955-1,Outdoor,27.23,2025-02-05,,Babbleblab,30529282345935,592,73,259588641-X,Durable cover to protect your grill from the elements.,Yotz
Frozen Mixed Vegetables,,,Food - Frozen,38.81,2025-04-10,Áyios Nikólaos,,4405219068688414,284,402,277662548-0,"A mix of carrots, peas, and corn, easy to stir-fry.",Buzzster
Herbal Tea Variety Pack,Ozu,,Food - Beverages,32.72,2026-01-03,Lārkāna,Fivespan,3574495013971868,216,814,,"Assorted herbal teas, perfect for a warm and relaxing drink.",Tekfly
Interactive Plush Toy,Izio,300746853-1,Toys,28.7,2025-03-11,,Quamba,3555889901088426,249,377,494069308-2,"Soft, cuddly toy that interacts with children.",Lazzy
Dark Chocolate Covered Almonds,Skimia,063642916-4,Food - Snacks,31.27,,Jiujiang,Fadeo,3559507675099132,392,996,518391861-9,Roasted almonds dipped in rich dark chocolate.,Feednation
Mini Meatballs,Tambee,454247828-9,Food - Frozen Meals,63.28,2025-05-11,Pran Buri,Gabcube,4844837531010699,52,769,482863861-X,Frozen mini meatballs that are great as a snack or in pasta dishes.,
Marinara Sauce,Fatz,735070762-2,Food - Condiments,4.91,2026-01-01,Gushan,Edgepulse,3537838363430314,765,561,949166122-1,Classic marinara sauce for all pasta dishes.,Cogidoo
Chickpea Flour,Brainbox,,Food - Baking,24.41,2026-01-03,Fangtang,Brainsphere,5396380727463942,860,820,203075881-7,"Gluten-free flour made from ground chickpeas, great for cooking.",Ntags
Silicone Baking Mats,Kanoodle,533273575-8,Kitchen,63.75,2026-01-16,Sanlanbahai,Midel,4041376003106504,932,894,,Reusable silicone mats for non-stick baking.,Livetube
Classic Caesar Dressing,Demimbu,867346592-3,Food - Condiments,97.38,2025-06-06,,Devpoint,3529272588785957,220,,835631134-9,,Vitz
Ergonomic Gaming Chair,Meevee,,Gaming,90.8,2025-06-01,Delft,,6759568443983446,336,359,918236168-1,Comfortable gaming chair for long hours of play.,Browsecat
Fitness Tracker with Heart Rate Monitor,,183747904-6,Fitness,39.03,2025-04-03,,Ainyx,4041372198366,175,531,,Wearable device to track fitness activities and heart rate.,
LED Under Cabinet Lighting,Lazz,748232040-7,Home,71.86,2025-03-25,Tolkmicko,Trunyx,3550703472419263,587,171,398388988-3,Easy-to-install lights to brighten kitchen cabinets and workspaces.,Oyoyo
Roasted Garlic,Oyondu,763433860-5,Food - Condiments,14.11,2025-01-14,,Twitternation,58932057224728981,629,545,383597293-6,Savory roasted garlic in a jar for easy use.,Photospace
Organic Ramen Noodles,Yodo,294360852-1,Food - Pasta,15.79,,,BlogXS,3560863500673725,140,,,Quick-cooking ramen noodles made with organic wheat.,Photospace
Fruit and Nut Energy Bites,Rhyzio,001945025-7,Food - Snacks,31.34,,Kotatengah,Jabberstorm,6334332549023043,891,862,314232371-6,Natural energy bites packed with fruits and nuts for a perfect snack.,Photobean
Garlic and Herb Cream Cheese,Devshare,417057907-0,Food - Dairy,64.16,2025-08-11,Louisville,Nlounge,3586429917329556,428,474,625909860-X,Spreadable cream cheese with garlic and herbs.,Jaxnation
Peach Salsa,JumpXS,324205585-3,Food - Dips,35.53,2025-02-09,,Topicblab,6389676488180634,828,178,660917429-6,Sweet and spicy salsa made with fresh peaches.,Photojam
Wild Rice & Quinoa Mix,Minyx,753054436-5,Food - Grains,14.13,2026-01-15,Magsalangi,Avamba,5100136941516403,562,,915639829-8,,Feedfire
Banana Peanut Butter Smoothie,Wordify,169606541-0,Food - Frozen Foods,26.73,2025-10-24,,Demivee,5100143355641263,298,956,568117277-5,Frozen smoothie mix with bananas and peanut butter for a quick drink.,Oyoloo
Coffee Grinder,Bubblebox,831512902-3,Kitchen,84.97,2025-09-22,Dubki,Bluezoom,5038186715249472,84,899,097373988-6,Burr coffee grinder for fresh ground coffee.,
Spinach and Feta Wraps,,990358550-0,Food - Prepared Foods,37.56,2025-08-11,Lionel Town,Yata,3549809686172095,942,902,533528224-X,Whole wheat wraps filled with spinach and feta cheese.,Vidoo
Luxury Bathrobe,Meevee,198053393-8,Clothing,27.86,2025-06-10,Russkiy,Jabberbean,6331103453817122591,706,266,018618890-0,Soft and cozy bathrobe perfect for relaxing at home.,Thoughtbridge
Vegetarian Pizza,Riffpath,,Food - Frozen Foods,75.66,2025-02-23,Palca,Agivu,3585100210493917,41,959,754452375-6,Frozen pizza loaded with vegetables and cheese.,Geba
Sliced Cucumbers,Voolia,388041677-X,Food - Produce,6.99,2025-09-23,Basel,Jetwire,3542294178689996,243,886,580302603-4,"Freshly sliced cucumbers, great for salads or snacking.",Twiyo
Pumpkin Spice Cookies,Tazzy,116323745-0,Food - Bakery,60.61,2025-05-03,Bereeda,Centimia,201496386790247,431,92,837599859-1,Delicious cookies flavored with pumpkin and spices.,
Almond Coconut Granola,Babblestorm,,Food - Breakfast Foods,5.46,,Asprángeloi,Meembee,3531736349611260,445,24,701986400-7,Crunchy granola with almonds and coconut.,
Kids' Craft Supplies Set,Devshare,927416170-0,Toys,9.59,2025-12-21,Cape Coast,Skinte,633354902530689451,440,982,835111401-4,Variety pack of craft supplies for kids' projects.,Lazz
Foldable Yoga Mat,Dabtype,670511355-3,Fitness,10.94,2025-04-06,Karangtengah,,3537268002097482,222,175,384831340-5,Compact yoga mat that folds for easy storage and transport.,Skilith
Coconut Chia Seed Pudding,Zoovu,919146371-8,Food - Snacks,27.04,2025-10-01,Zouérat,Feedmix,201712888596597,957,816,965807202-X,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",Eazzy
Mobile Workbench,Aibox,766098621-X,Tools,92.97,2025-01-31,General Roca,Tazzy,3588628657684108,491,111,514424789-X,Sturdy mobile workbench with storage options.,Feedbug
Electric Heat Press Machine,Gigazoom,093127424-9,Crafts,90.41,2025-08-16,Hisya,Quatz,3565151486873021,128,771,878753751-6,Ideal for creating custom designs on t-shirts and fabrics.,Edgewire
Casual Long Cardigan,Viva,925948483-9,Clothing - Outerwear,58.13,2025-03-08,San Isidro,Gabspot,3534450336186644,536,293,871363464-X,A cozy long cardigan designed for layering in any season.,Fatz
Bodyweight Resistance Bands,Latz,004986188-3,Fitness,40.31,,Tobias Fornier,,4175007480427943,655,463,628533878-7,Set of resistance bands for strength training at home.,Browsetype
Balsamic Fig Dressing,Youtags,440507904-8,Food - Condiments,88.72,2025-09-30,Brokopondo,Gabtune,4041591267885,40,922,221704147-9,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",Trunyx
Portable Solar Generator,,714824961-9,Outdoor,74.4,2025-06-19,Trzebnica,Brightdog,3529006338080578,817,474,,Eco-friendly generator for outdoor adventures.,Eayo
Apple Pie Filling,Yadel,,Food - Canned Goods,71.53,2025-05-15,La Asunción,Katz,4844082852395813,520,868,217714095-1,"Sweet and spiced apple filling, perfect for pies.",Ozu
Balsamic Glazed Brussels Sprouts,Snaptags,821055523-5,Food - Vegetables,76.52,2026-01-10,Nakambala,,3569696830182624,449,393,404197127-6,Roasted Brussels sprouts drizzled with balsamic glaze.,Tagopia
Sporty Leggings,Meejo,,Clothing - Activewear,28.37,,Teno,,4405952329644939,322,995,095500808-5,Functional leggings designed for maximum comfort during workouts.,Mynte
Active Racerback Tank,Jayo,140916603-1,Clothing - Tops,11.22,2025-06-29,Tortosendo,Yodel,,155,113,279794906-4,Lightweight and moisture-wicking racerback tank for workouts.,Avamba
Red Lentils,,,Food - Grains,76.01,2025-03-21,Probolinggo,InnoZ,3539168145805080,181,574,324333352-0,Nutritious and quick-cooking red lentils.,Zoovu
Chili Beans in Sauce,Ntag,954212905-X,Food - Canned Goods,32.7,2025-06-11,Guanqing,Realbuzz,3542352032571634,6,720,811023797-5,Canned beans cooked in a savory chili sauce,Flashdog
Self-Massaging Pillow,Devify,548934865-8,Health,78.41,2025-02-12,Zhoutian,Dabvine,5425673208879650,802,,567133710-0,Comfortable pillow with built-in massage features.,
Leather Crossbody Bag,Realbridge,715318957-2,Clothing - Bags,85.52,2025-10-30,Wamba,Shufflebeat,3572012037191084,656,259,371590487-9,A chic leather crossbody bag for everyday use.,Eayo
Maple Glazed Carrots,Ailane,639712563-7,Food - Prepared Foods,,2025-09-28,Barretos,Feedfire,,178,40,845909178-3,,
Pumpkin Spice Cookies,,215236627-1,Food - Bakery,28.67,2025-02-04,San Marcos,Buzzster,50382273234628465,720,,543261221-6,Delicious cookies flavored with pumpkin and spices.,Buzzbean
Infrared Space Heater,Miboo,289351283-6,Home Appliances,65.03,2025-03-26,Všeruby,Mydeo,,891,394,000321219-X,Energy-efficient infrared heater for home use.,Twimbo
Sweet Potato Mash,Izio,739167788-4,Food - Frozen Foods,48.87,,Pamplona/Iruña,,5100174539560426,32,61,770292661-9,,DabZ
Spicy Garlic Edamame,Wordtune,324548439-9,Food - Snacks,40.66,2025-10-18,Kresna,Yoveo,,960,251,761578301-1,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",Ntag
Salt and Pepper Grinder Set,Devcast,549770635-5,Kitchen,,2026-01-25,Hidalgo,Leexo,5602241241053355,359,,676140541-6,Adjustable grinders for fresh spices at the table.,Kwideo
Dog Training Collar,Talane,429941664-3,Pets,66.48,2025-04-08,Lagny-sur-Marne,Oloo,5602215021606207442,11,880,394086196-0,Rechargeable training collar for effective behavior training.,Buzzdog
Sliced Strawberries,Skajo,413196412-0,Food - Fruits,88.25,2025-01-19,Xiayang,Zooveo,3528928028439817,426,920,,,Youopia
Smart Fitness Scale,,849609405-7,Fitness,80.18,2025-11-18,Uppsala,Devshare,5602249763433285,348,897,815999684-5,Bluetooth scale that tracks body composition through an app.,Chatterpoint
Quinoa Salad,Browsedrive,237501724-2,Food - Prepared Foods,51.05,2025-08-27,Klavdiyevo-Tarasove,Zoovu,3567884514928478,448,578,184444132-6,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",Jabberstorm
Creamy Garlic Mashed Potatoes,Devpoint,,Food - Sides,19.52,2026-02-17,Radziszów,Vidoo,67067759375386323,187,463,378424239-1,Rich and buttery mashed potatoes with roasted garlic.,Babbleblab
Wild Rice Pilaf,Tazz,539393198-0,Food - Grains,64.2,2025-01-31,Ntsoudjini,Eazzy,3577131373004951,752,678,244865242-2,,
Oven-Baked Sweet Potato Fries,Twiyo,365751225-X,Food - Frozen Foods,30.76,,Paris 04,Myworks,,115,,708142074-5,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",Brainlounge
Adjustable Garden Rake,Feedbug,156939830-5,Garden,54.14,2025-04-29,Kotovsk,Vinder,,637,136,,Heavy-duty rake with adjustable width for different gardening needs.,Kimia
Shatterproof Wine Glasses,Meezzy,958256392-3,Outdoor,3.01,2025-02-04,Okhtyrka,Voolia,374283527903132,630,525,630682257-7,"Durable, unbreakable wine glasses for outdoor use.",Lazzy
Personalized Pet ID Tags,Ainyx,019744834-8,Pets,52.0,2025-05-13,Zhangbang,Avaveo,3588372876768687,885,,463780799-9,Custom engraved ID tags for pets with your contact information.,Blogtag
Desk Organizer Set,Kamba,283735229-2,Office,84.89,2025-12-28,Oyam,Katz,3551330296151507,181,500,689283757-3,Stylish desk set to keep your workspace tidy and organized.,Teklist
Striped Long Sleeve Shirt,Trudeo,,Clothing - Shirts,85.17,2025-10-26,Uruzgān,Avaveo,5002356856221380,862,135,002691190-6,A casual striped long sleeve shirt that's perfect for layering.,Plambee
Cucumber Lime Sparkling Water,Pixoboo,986629363-7,Food - Beverages,69.42,2025-10-21,Kokotów,Brainlounge,3546031004168340,209,56,150945279-6,,Einti
Cable Knit Cardigan,Yamia,838294224-5,Clothing - Outerwear,5.65,2025-10-07,,Dabjam,3558567928987260,48,,786265553-2,Cozy cable knit cardigan to layer during chilly evenings.,Edgeify
Tennis Racket,,116264467-2,Fitness,92.16,2026-01-22,Xinhe,,6759501623484356,647,355,466462435-2,Lightweight tennis racket for beginners and advanced players.,Agimba
Beef Stew Meat,Zoomdog,,Food - Meat,9.17,2025-10-20,Vatutine,Twitterlist,3579963570235931,731,719,617673380-4,Tender beef chunks for slow-cooked stews.,Photospace
Kids' Art Supplies Kit,Wikizz,696122726-0,Toys,32.69,,Umeå,Reallinks,30118027585920,718,800,570137172-7,"Complete kit with crayons, markers, and paper for young artists.",
Cookbook,Skinte,896899930-9,Books,58.13,,Banag,Gigaclub,,83,501,662429932-0,Inspiring cookbook with healthy recipes.,Jaxspan
Comfort Flats,Centizu,,Clothing - Shoes,3.61,2025-01-25,Quezon,Demizz,4026133544460026,622,613,119700360-6,Everyday flats that combine comfort and style.,Eidel
Quinoa Salad,,347310531-7,Food - Prepared Foods,74.41,2025-09-11,,,5534878710528293,572,838,140344905-8,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",Youspan
Maple Syrup,,268222863-1,Food - Condiments,56.66,2025-05-28,Liancheng,Zoozzy,4844063482504925,983,175,364743308-X,Pure maple syrup for pancakes and more.,Bubblemix
Window Blinds,Eazzy,596956869-4,Home,51.42,2025-07-26,Paris 07,Kimia,3544724200042523,623,,014871985-6,Adjustable window blinds for privacy and light control.,Photolist
Plant Watering Spikes,Riffpedia,129501876-4,Garden,7.78,2025-05-01,Berlin,Yodo,30486218124860,928,799,526466446-3,Automatic watering devices for potted plants.,Buzzbean
Safety Pin Dispenser,Ailane,074499351-2,Office,17.34,2025-02-12,Tandou,Twinder,3587366060023892,377,96,,,Trudeo
Weighted Jump Rope with Counter,Browsetype,163504620-3,Fitness,7.48,2025-11-06,Abbeville,Oyoyo,,763,301,384742472-6,,Zoomlounge
Wooden Kitchen Utensil Set,Fiveclub,585816590-7,Kitchen,90.42,2025-11-28,Kui Buri,Rooxo,5108755241110302,894,495,148905759-5,,Devpulse
Sun Protection Clothing,Yoveo,279723178-3,Clothing,39.62,2026-01-06,Sasovo,,3531292414110234,632,722,046046099-4,UV-blocking clothing for outdoor activities.,Kwinu
Organic Baby Spinach,Meeveo,977101034-4,Food - Produce,,2026-01-09,Suwaru,,3573864778032334,868,246,590607073-7,"Fresh baby spinach leaves, great for salads and smoothies.",InnoZ
Children's Musical Instrument Set,Tanoodle,058396776-0,Toys,63.1,2026-01-02,Sapol,,3530416110994184,616,391,863966860-4,Fun instruments to introduce kids to music.,Mybuzz
Leather Biker Jacket,Devify,949344775-8,Clothing - Outerwear,,2026-02-17,Rongcheng,Tagtune,5100178011824945,497,265,048537179-0,Stylish black leather jacket featuring a zip-up front and multiple pockets.,Chatterpoint
Portable Camping Shower,Topicblab,940254770-3,Outdoor,26.17,2025-10-26,Mesiméri,Tambee,3540096061323126,925,357,156643943-4,Convenient shower system for camping and outdoor activities.,BlogXS
Pineapple Salsa,Gigaclub,467844845-4,Food - Condiments,28.87,2025-12-23,Amio,,3573456692872273,327,272,,Fresh salsa made with pineapple and spices,Photolist
Coconut Macaroons,Skibox,361436037-7,Food - Confectionery,99.88,2025-03-26,Kalān Deh,Tagchat,4026814838694129,794,281,,"Chewy cookies made with coconut, perfect for sweet cravings.",Eamia
Cordless Water Flosser,,486463058-5,Health,51.01,2025-04-25,Bucu Lor,Fivechat,6761284026456324634,273,982,345262242-8,Rechargeable water flosser for dental hygiene.,Gabtune
Dish Soap Dispenser,,982800681-2,Kitchen,69.21,2025-09-04,,Topiczoom,3538800958000166,398,303,607504796-4,Stylish dish soap dispenser with sponge holder.,Eazzy
Puzzle Mat,Oloo,346463240-7,Toys,90.98,2025-09-03,Shamakhi,Browsezoom,30359413887880,914,824,012332253-7,Foldable mat for jigsaw puzzle assembly.,Voomm
Adjustable Stand for Tablets and Smartphones,Leexo,600175820-4,Electronics,97.5,2025-12-06,Kafachan,,630462154830594768,175,701,114108668-9,Multi-angle stand for easy viewing of devices.,Skibox
Multi-Port USB Hub,,357609229-3,Electronics,53.32,2025-03-19,Huaqiu,Yabox,3575142595400481,934,448,750048617-0,USB hub for expanding ports on computers and laptops.,Realfire
Dish Rack,Linkbuzz,746796677-6,Kitchen,1.1,2025-04-02,,Mita,3572518081735790,417,141,106442118-0,Collapsible dish rack for kitchen countertop use.,Linkbuzz
Collapsible Pet Dog Bowl,Avamba,414537696-X,Pets,,,Calle Blancos,Mydo,5048374699191823,200,148,109641543-7,Travel-friendly dog bowl that is collapsible for easy storage.,Thoughtbridge
Spinach Feta Wraps,Jayo,242370688-X,Food - Deli,49.91,2025-03-20,Albi,Devcast,5602249269890590,492,,047299182-5,"Whole wheat wraps filled with spinach, feta, and herbs.",Yacero
Adjustable Laptop Stand,Oba,453070815-2,Office,35.93,2026-02-11,Shimen,Wordware,3559277163001178,912,943,255334903-3,Ergonomic stand for laptops to improve posture while working.,
Pasta (Linguine),Twitternation,863590302-1,Food - Pasta,20.49,2026-01-11,Girsereng,Photojam,3571001500369492,71,,291827137-3,"Thin, flat pasta perfect for various sauces.",Zoombox
Cork Yoga Mat,Jabbercube,074088908-7,Fitness,8.62,,,,6379103712415712,715,954,578711770-0,Eco-friendly yoga mat made from sustainable materials.,Meemm
Portable Blender,Quinu,604577753-0,Kitchen,62.21,2025-09-04,,Topicblab,3575379352104001,458,292,865972649-9,Battery-operated blender for smoothies on the go.,Jetpulse
Smashed Avocado with Lime,Skimia,926593906-0,Food - Condiments,13.48,2025-03-13,Tokushima-shi,Devbug,30010505386733,110,674,354338466-X,"A creamy blend of avocados and lime juice, great for spreads or dips.",Edgepulse
Non-Toxic Crayons for Kids,Quinu,651022864-5,Toys,67.63,2025-04-25,Chropyně,Youopia,5602221878166720,933,592,850025409-2,Safe and vibrant crayons for children's art projects.,LiveZ
Maple Almond Butter,Meetz,384082051-0,Food - Nut Butters,79.33,2025-04-10,Changping,Voolith,3576535960660119,892,927,,Creamy almond butter sweetened with maple syrup for a delicious spread.,Gabtype
Smoked Paprika Chicken Thighs,Flashdog,783446751-4,Food - Meat,30.82,2025-10-27,Sundbyberg,Twitterbridge,6706054337115852,58,805,332813530-8,Marinated chicken thighs with smoked paprika for a smoky flavor.,Midel
Dog Frisbee Toy,Realcube,388586299-9,Pets,10.8,2025-08-05,Sardasht,Tekfly,30082477070850,756,114,222880651-X,,Fadeo
Lemon Zest Olive Oil,,760044695-2,Food - Oils & Vinegars,98.81,2025-09-13,Lille,Jabbersphere,4405063945918523,517,512,727421290-7,High-quality olive oil infused with fresh lemon zest.,Babbleblab
Smart Fitness Scale,Jamia,032406140-4,Fitness,96.94,2025-05-30,,BlogXS,5610867737381779925,691,126,590017067-5,Bluetooth scale that tracks body composition through an app.,Jaxbean
Coconut Yogurt,,313875969-6,Food - Dairy Alternatives,,,Haicheng,Dynazzy,,514,430,541423907-X,"Creamy yogurt made from coconut milk, dairy-free and delicious.",
Magnetic Phone Car Mount,Tambee,600284105-9,Automotive,89.14,,Wangdain,Jamia,3569388374414080,91,732,420294703-7,Strong magnetic holder for smartphones in cars.,DabZ
Pineapple Teriyaki Chicken Mix,Abatz,563103685-1,Food - Meat,35.8,2025-06-27,Lamarosa,Jaxbean,5002354777283829,741,74,610486963-7,,Eidel
Dill Pickle Chips,Babbleblab,481387020-1,Food - Condiments,82.15,2025-10-12,San Diego,Meezzy,3538737997259207,142,569,030365639-5,Crispy dill pickles that are perfect for snacking or sandwiches.,
Zesty Garlic Hummus,Brainbox,326241855-2,Food - Snacks,62.99,2025-03-25,Capioví,Voomm,,586,195,645150879-9,Creamy chickpea dip infused with zesty garlic flavor.,Livefish
Mini Meatballs,Pixope,448406990-3,Food - Frozen Meals,57.27,2025-08-29,Cheonan,Oyoloo,3576197354248280,118,908,570435923-X,Frozen mini meatballs that are great as a snack or in pasta dishes.,Yakijo
Vanilla Pudding Mix,Skimia,178862606-0,Food - Baking,15.75,2025-05-27,Tanjung,Gigashots,5010121269204153,633,759,,Instant mix for creamy vanilla pudding.,Babbleset
Cabbage,Kazio,440983559-9,Food - Produce,28.66,2025-05-01,,Skimia,,426,,059907773-5,"Fresh green cabbage, great for salads and slaws.",Snaptags
Garden Tool Set with Carrying Bag,Abatz,073847990-X,Garden,35.59,2025-01-08,Pavia,Camimbo,3587149394285779,801,799,156650025-7,Complete set for garden care with a handy carrying bag.,Pixonyx
Sweet Potato and Chickpea Bowl,Flashpoint,962358651-5,Food - Frozen Food,13.62,2026-02-11,Överkalix,Oyonder,3565664709784403,987,,464171463-0,A nourishing bowl of sweet potatoes and chickpeas with spices.,Jaxbean
Rainbow Veggie Chips,Photobug,600393717-3,Food - Snacks,1.31,2025-10-02,Pobé,Riffwire,374141014802284,425,753,371323647-X,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",Kamba
Gingerbread House Kit,Eamia,,Food - Baking,43.72,2025-10-04,,Rooxo,,818,203,466084717-9,Everything you need to build a festive gingerbread house.,Agivu
Kettle Corn Popcorn,Nlounge,026431987-7,Food - Snacks,72.85,,Malysheva,Vinder,3562660457131576,106,,505589388-5,"Sweet and salty kettle corn, perfect for snacking.",Rhynoodle
Honey Wheat Pretzels,Realpoint,314478710-8,Food - Snacks,89.64,2025-11-11,Molinos,Wikivu,201790683514213,875,339,899253296-2,Crunchy pretzel sticks made with honey and whole wheat.,Thoughtblab
Deep Tissue Massage Gun,Realcube,918048446-8,Health,82.84,2025-05-24,Zhifang,,6706970518909165873,156,,,Rechargeable massage gun for relieving muscle soreness.,Feedmix
LED Strip Light Kit,Fivespan,983025347-3,Home,85.6,2025-08-17,Damao,Tagopia,3536978910465586,686,,737670231-8,Flexible light strips for creative home decor.,Vimbo
Honey Roasted Almonds,Demivee,777134758-4,Food - Snacks,23.12,2025-08-13,Nglojo,Realmix,6304121673873372,365,704,626445424-9,,Camido
Travel Jewelry Case,Skipfire,911365162-5,Accessories,36.29,2025-07-05,Posse,Skiba,6706880315152838556,100,650,451064688-7,Portable case to organize and protect jewelry on trips.,Feedfire
Compressed Towel Tablets,Thoughtmix,124049244-8,Travel,94.34,2025-07-03,Shinshiro,Blogspan,3540673266874168,209,947,157166339-8,"Compact towels that expand when wet, ideal for travel.",Vimbo
Veggie Lovers Pizza,Meeveo,512739916-4,Food - Frozen Foods,99.31,2025-09-13,Vila Verde,Quire,,895,838,537286332-3,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,Cogidoo
Travel Document Organizer,Realblab,562916634-4,Travel,9.26,2025-06-12,Atlanta,Oloo,630486669047570535,973,801,516327305-1,"Organize travel documents, passport, and cards.",Realpoint
Sweet Potato and Chickpea Bowl,Voonder,482668091-0,Food - Frozen Food,8.33,2025-06-23,Veinticinco de Mayo,,5602252168156183228,631,830,699659005-1,A nourishing bowl of sweet potatoes and chickpeas with spices.,
Mixed Berry Smoothie Pack,Skyndu,127208277-6,Food - Frozen Food,82.6,2025-10-30,Sandachō,Edgepulse,5893581738898680173,126,864,354521132-0,"Frozen berries blend perfect for smoothies, just add yogurt.",Livetube
Whole Grain Hamburger Buns,Jayo,489906817-4,Food - Bakery,90.05,2025-08-30,,Oyonder,4017955673420624,487,382,689604827-1,Soft hamburger buns made with whole grains.,Skyble
Chicken Fajita Kit,Twimbo,564836585-3,Food - Prepared Foods,80.3,2025-03-11,Huachos,Youfeed,3547650964108019,221,839,868890889-3,,Skiptube
Collapsible Camping Cup,Skibox,692098606-X,Outdoor,,2025-08-24,,Feedbug,564182614152323385,23,140,074232233-5,Space-saving cup that folds flat for easy storage.,Miboo
Outdoor Sports Backpack,Meevee,904178697-X,Outdoor,31.08,2025-10-28,,,3538055811003879,792,545,101435608-3,Durable backpack designed for hiking and outdoor excursions.,Tekfly
Car Vacuum Cleaner,Thoughtsphere,014698488-9,Automotive,36.26,2025-02-12,Lorino,,5048377329479781,326,242,548852797-4,Compact vacuum designed specifically for cleaning vehicles.,Youbridge
Vanilla Protein Powder,Yodel,304778456-6,Food - Health/Protein,58.19,,Vrangel’,Jazzy,6333972874307759,790,861,352917629-X,A high-quality protein powder perfect for smoothies and baking.,Jaxspan
Balsamic Salad Dressing,Yodoo,887360984-8,Food - Deli,40.73,2025-08-29,Donggang,Janyx,3557991454340424,399,89,901500204-5,"Tangy and sweet balsamic dressing, perfect for salads.",BlogXS
Vegetable Korma,,105594403-6,Food - Frozen,84.81,2025-10-28,San Sebastian,Twitterbeat,633110255176294473,228,658,,Creamy vegetable curry enriched with spices.,Voonix
Almond Crunch Granola Bars,Vidoo,,Food - Snacks,95.98,2025-10-09,Paciran,Jaxbean,3584880120778397,125,182,044615046-0,,Rhyzio
Turmeric Ginger Tea,Livepath,891247205-4,Food - Beverages,23.79,,Lucan,,3540541857254472,542,782,993362315-X,A soothing tea blend with turmeric and ginger for wellness.,Youspan
Pet Hair Remover,Browseblab,110832213-1,Pets,72.23,2025-09-06,Wassu,Feedspan,675942529940097478,128,618,643833741-2,Effective roller for removing pet hair from furniture.,Youspan
Smart WiFi Plug,Yamia,478352829-2,Smart Home,39.65,2025-04-20,Fuxin,Tanoodle,3564361365415288,650,341,246071374-6,Control appliances remotely using your smartphone.,Pixope
Handcrafted Wooden Coasters,Devshare,919950178-3,Home,20.14,2025-11-01,Segezha,Dabjam,337941985343234,537,439,232741851-8,Set of unique wooden coasters for drinks and decor.,Mybuzz
